id,x,y,type,demand,terminal_cost,processing_cost
0,50,50,center,0,0,0
10,23.6,23.3,terminal,0,8000,15
11,24.5,28.3,terminal,0,8000,15
12,74.5,19.0,terminal,0,8000,15
13,77.0,23.4,terminal,0,8000,15
14,48.1,76.0,terminal,0,8000,15
100,24.7,28.7,consumer,51,0,0
101,16.7,20.5,consumer,94,0,0
102,20.7,22.5,consumer,87,0,0
103,22.9,37.0,consumer,98,0,0
104,27.0,21.5,consumer,71,0,0
105,24.0,31.2,consumer,98,0,0
106,73.6,20.6,consumer,56,0,0
107,71.9,22.2,consumer,66,0,0
108,77.2,11.9,consumer,84,0,0
109,83.6,30.0,consumer,55,0,0
110,69.0,20.7,consumer,89,0,0
111,80.2,20.6,consumer,62,0,0
112,47.7,74.6,consumer,64,0,0
113,49.5,66.2,consumer,64,0,0
114,51.1,72.7,consumer,79,0,0
