id,x,y,type,demand,terminal_cost,processing_cost
0,50,50,center,0,0,0
10,19.5,14.1,terminal,0,8000,15
11,18.7,25.8,terminal,0,8000,15
12,18.1,18.3,terminal,0,8000,15
13,83.3,19.0,terminal,0,8000,15
14,77.5,26.4,terminal,0,8000,15
15,81.4,21.8,terminal,0,8000,15
16,25.6,79.4,terminal,0,8000,15
17,20.5,75.3,terminal,0,8000,15
18,24.1,76.4,terminal,0,8000,15
19,79.1,75.8,terminal,0,8000,15
20,77.7,81.7,terminal,0,8000,15
21,47.2,43.2,terminal,0,8000,15
22,54.7,44.4,terminal,0,8000,15
100,20.0,11.2,consumer,94,0,0
101,18.1,13.9,consumer,65,0,0
102,21.3,13.1,consumer,58,0,0
103,21.7,7.5,consumer,85,0,0
104,10.8,20.4,consumer,78,0,0
105,13.0,20.9,consumer,82,0,0
106,10.5,29.9,consumer,78,0,0
107,24.2,13.7,consumer,80,0,0
108,10.7,20.7,consumer,90,0,0
109,16.7,26.2,consumer,81,0,0
110,80.9,16.5,consumer,54,0,0
111,82.6,16.0,consumer,71,0,0
112,80.8,24.3,consumer,58,0,0
113,80.1,30.0,consumer,59,0,0
114,77.1,24.9,consumer,76,0,0
115,75.0,30.9,consumer,53,0,0
116,82.7,26.4,consumer,99,0,0
117,75.1,18.1,consumer,98,0,0
118,76.7,19.4,consumer,72,0,0
119,24.2,83.7,consumer,76,0,0
120,18.2,77.6,consumer,88,0,0
121,29.9,76.2,consumer,67,0,0
122,19.3,75.8,consumer,71,0,0
123,16.5,68.2,consumer,96,0,0
124,23.1,79.8,consumer,58,0,0
125,29.9,75.7,consumer,75,0,0
126,18.3,72.6,consumer,55,0,0
127,22.7,74.7,consumer,79,0,0
128,80.5,78.8,consumer,70,0,0
129,80.0,79.6,consumer,98,0,0
130,81.6,73.4,consumer,76,0,0
131,77.7,83.4,consumer,51,0,0
132,77.7,80.2,consumer,72,0,0
133,78.0,83.3,consumer,91,0,0
134,48.4,43.5,consumer,65,0,0
135,47.6,44.3,consumer,59,0,0
136,47.6,48.4,consumer,57,0,0
137,52.0,43.2,consumer,94,0,0
138,54.5,48.7,consumer,88,0,0
139,48.7,39.6,consumer,57,0,0
