id,x,y,type,demand,terminal_cost,processing_cost
0,50,50,center,0,0,0
10,20.0,27.5,terminal,0,8000,15
11,13.3,22.5,terminal,0,8000,15
12,77.8,19.3,terminal,0,8000,15
13,87.0,20.0,terminal,0,8000,15
14,27.4,78.5,terminal,0,8000,15
15,21.7,77.6,terminal,0,8000,15
16,76.7,80.3,terminal,0,8000,15
17,78.1,81.4,terminal,0,8000,15
18,44.3,55.5,terminal,0,8000,15
19,49.4,56.7,terminal,0,8000,15
100,15.4,28.8,consumer,96,0,0
101,26.0,27.3,consumer,95,0,0
102,17.3,27.7,consumer,63,0,0
103,19.4,21.3,consumer,84,0,0
104,16.8,23.9,consumer,53,0,0
105,8.5,19.7,consumer,83,0,0
106,83.1,27.4,consumer,55,0,0
107,78.8,18.0,consumer,54,0,0
108,76.4,16.5,consumer,57,0,0
109,92.7,17.8,consumer,87,0,0
110,81.6,16.3,consumer,76,0,0
111,83.7,14.9,consumer,70,0,0
112,30.0,77.4,consumer,95,0,0
113,26.1,81.6,consumer,58,0,0
114,25.7,75.2,consumer,70,0,0
115,30.2,73.5,consumer,50,0,0
116,12.1,80.2,consumer,56,0,0
117,24.3,78.9,consumer,66,0,0
118,79.5,83.4,consumer,54,0,0
119,79.8,77.3,consumer,60,0,0
120,71.2,82.5,consumer,69,0,0
121,70.6,75.0,consumer,91,0,0
122,71.2,80.1,consumer,85,0,0
123,76.0,88.0,consumer,58,0,0
124,43.5,64.5,consumer,97,0,0
125,41.0,54.4,consumer,88,0,0
126,45.3,59.5,consumer,93,0,0
127,47.2,54.2,consumer,81,0,0
128,49.3,65.9,consumer,53,0,0
129,53.4,59.3,consumer,67,0,0
