id,x,y,type,demand,terminal_cost,processing_cost
0,50,50,center,0,0,0
10,27.6,22.5,terminal,0,8000,15
11,24.0,13.3,terminal,0,8000,15
12,26.3,16.8,terminal,0,8000,15
13,22.5,24.3,terminal,0,8000,15
14,21.0,24.3,terminal,0,8000,15
15,84.0,21.5,terminal,0,8000,15
16,83.6,19.7,terminal,0,8000,15
17,81.0,15.4,terminal,0,8000,15
18,73.1,23.6,terminal,0,8000,15
19,85.3,19.8,terminal,0,8000,15
20,19.4,77.1,terminal,0,8000,15
21,17.7,87.5,terminal,0,8000,15
22,15.4,77.5,terminal,0,8000,15
23,20.0,77.7,terminal,0,8000,15
24,15.7,77.5,terminal,0,8000,15
25,81.8,77.6,terminal,0,8000,15
26,82.4,79.4,terminal,0,8000,15
27,82.2,85.1,terminal,0,8000,15
28,78.5,77.0,terminal,0,8000,15
29,85.4,85.0,terminal,0,8000,15
30,50.1,55.6,terminal,0,8000,15
31,46.7,46.9,terminal,0,8000,15
32,45.6,47.4,terminal,0,8000,15
33,53.0,48.7,terminal,0,8000,15
34,49.3,46.6,terminal,0,8000,15
100,22.0,26.8,consumer,69,0,0
101,18.6,25.0,consumer,54,0,0
102,34.2,22.9,consumer,86,0,0
103,25.7,13.3,consumer,63,0,0
104,21.8,13.2,consumer,72,0,0
105,30.5,7.2,consumer,73,0,0
106,25.2,21.6,consumer,84,0,0
107,24.4,10.6,consumer,91,0,0
108,19.4,15.5,consumer,85,0,0
109,20.4,30.9,consumer,58,0,0
110,21.7,33.3,consumer,97,0,0
111,19.2,23.2,consumer,88,0,0
112,22.0,28.3,consumer,93,0,0
113,18.8,21.8,consumer,81,0,0
114,20.9,33.5,consumer,53,0,0
115,88.0,24.1,consumer,67,0,0
116,87.8,22.6,consumer,58,0,0
117,81.8,19.0,consumer,97,0,0
118,76.7,22.3,consumer,85,0,0
119,85.3,19.8,consumer,94,0,0
120,88.5,16.3,consumer,73,0,0
121,79.0,14.2,consumer,58,0,0
122,85.1,16.5,consumer,100,0,0
123,82.3,15.2,consumer,72,0,0
124,73.9,26.7,consumer,56,0,0
125,69.4,28.4,consumer,76,0,0
126,80.7,22.3,consumer,65,0,0
127,91.8,12.4,consumer,61,0,0
128,86.2,19.0,consumer,97,0,0
129,92.5,16.1,consumer,76,0,0
130,22.2,68.8,consumer,65,0,0
131,18.5,85.1,consumer,56,0,0
132,18.4,78.0,consumer,80,0,0
133,19.1,95.7,consumer,79,0,0
134,12.8,94.3,consumer,64,0,0
135,18.9,94.3,consumer,75,0,0
136,11.3,85.2,consumer,99,0,0
137,14.2,84.2,consumer,75,0,0
138,11.7,69.7,consumer,71,0,0
139,21.9,76.9,consumer,66,0,0
140,24.2,86.4,consumer,66,0,0
141,26.2,79.2,consumer,72,0,0
142,15.2,73.7,consumer,88,0,0
143,17.7,77.3,consumer,86,0,0
144,16.2,78.8,consumer,77,0,0
145,91.1,77.7,consumer,84,0,0
146,78.1,68.9,consumer,97,0,0
147,79.8,73.8,consumer,54,0,0
148,91.2,76.5,consumer,89,0,0
149,79.0,87.3,consumer,96,0,0
150,86.9,76.1,consumer,92,0,0
151,78.3,87.6,consumer,68,0,0
152,79.6,84.2,consumer,92,0,0
153,88.8,82.5,consumer,61,0,0
154,75.7,74.5,consumer,85,0,0
155,80.4,73.8,consumer,63,0,0
156,72.9,79.7,consumer,91,0,0
157,83.2,89.5,consumer,93,0,0
158,86.6,90.1,consumer,100,0,0
159,84.8,78.1,consumer,68,0,0
160,43.4,55.0,consumer,71,0,0
161,58.1,60.9,consumer,65,0,0
162,48.7,52.9,consumer,62,0,0
163,47.6,48.0,consumer,80,0,0
164,40.6,41.8,consumer,79,0,0
165,41.0,50.3,consumer,62,0,0
166,44.7,43.0,consumer,75,0,0
167,45.9,54.3,consumer,50,0,0
168,52.4,41.9,consumer,56,0,0
169,53.5,45.8,consumer,94,0,0
170,51.6,48.5,consumer,65,0,0
171,54.8,47.7,consumer,58,0,0
172,51.5,40.0,consumer,85,0,0
173,41.4,41.2,consumer,78,0,0
174,43.6,41.7,consumer,82,0,0
