id,x,y,type,demand,terminal_cost,processing_cost
0,50,50,center,0,0,0
10,22.2,21.8,terminal,0,8000,15
11,22.8,27.4,terminal,0,8000,15
12,74.2,32.6,terminal,0,8000,15
13,71.6,20.5,terminal,0,8000,15
14,53.0,80.6,terminal,0,8000,15
15,52.2,78.7,terminal,0,8000,15
100,28.9,21.4,consumer,85,0,0
101,22.9,25.6,consumer,99,0,0
102,22.7,18.8,consumer,52,0,0
103,23.8,17.5,consumer,54,0,0
104,25.1,36.6,consumer,95,0,0
105,20.1,33.7,consumer,75,0,0
106,27.9,22.9,consumer,59,0,0
107,22.5,30.6,consumer,85,0,0
108,66.7,30.7,consumer,77,0,0
109,77.9,29.8,consumer,64,0,0
110,76.4,32.6,consumer,81,0,0
111,72.8,21.3,consumer,57,0,0
112,73.0,22.5,consumer,93,0,0
113,70.2,21.2,consumer,74,0,0
114,48.7,77.6,consumer,66,0,0
115,61.6,79.0,consumer,50,0,0
116,52.1,78.8,consumer,84,0,0
117,52.2,70.8,consumer,71,0,0
118,56.0,81.9,consumer,79,0,0
119,59.7,78.9,consumer,96,0,0
