id,x,y,type,demand,terminal_cost,processing_cost
0,50,50,center,0,0,0
10,23.8,21.1,terminal,0,8000,15
11,25.4,25.8,terminal,0,8000,15
12,22.5,24.0,terminal,0,8000,15
13,78.5,14.8,terminal,0,8000,15
14,85.9,25.0,terminal,0,8000,15
15,19.0,77.3,terminal,0,8000,15
16,24.1,80.9,terminal,0,8000,15
17,75.7,78.5,terminal,0,8000,15
18,84.0,81.1,terminal,0,8000,15
19,57.2,46.8,terminal,0,8000,15
20,54.0,51.0,terminal,0,8000,15
100,20.9,14.7,consumer,72,0,0
101,25.5,12.3,consumer,76,0,0
102,31.4,19.8,consumer,65,0,0
103,30.3,13.7,consumer,61,0,0
104,26.3,25.0,consumer,97,0,0
105,32.6,22.1,consumer,76,0,0
106,28.2,17.5,consumer,65,0,0
107,24.5,33.8,consumer,56,0,0
108,21.5,24.9,consumer,80,0,0
109,23.9,32.2,consumer,79,0,0
110,17.6,30.8,consumer,64,0,0
111,79.7,21.6,consumer,75,0,0
112,74.4,22.5,consumer,99,0,0
113,77.3,21.5,consumer,75,0,0
114,82.2,17.2,consumer,71,0,0
115,87.8,24.2,consumer,66,0,0
116,90.1,33.7,consumer,66,0,0
117,25.2,78.8,consumer,72,0,0
118,18.5,73.5,consumer,88,0,0
119,21.0,77.1,consumer,86,0,0
120,24.6,82.2,consumer,77,0,0
121,33.4,81.0,consumer,84,0,0
122,20.4,72.2,consumer,97,0,0
123,73.7,74.7,consumer,54,0,0
124,84.5,75.6,consumer,89,0,0
125,72.3,86.4,consumer,96,0,0
126,88.5,77.8,consumer,92,0,0
127,80.1,83.6,consumer,68,0,0
128,81.4,80.2,consumer,92,0,0
129,63.8,44.2,consumer,61,0,0
130,54.4,44.3,consumer,85,0,0
131,59.1,43.6,consumer,63,0,0
132,48.4,53.7,consumer,91,0,0
133,51.8,55.5,consumer,93,0,0
134,55.2,56.1,consumer,100,0,0
