id,x,y,type,demand,terminal_cost,processing_cost
0,50,50,center,0,0,0
10,18.6,18.3,terminal,0,8000,15
11,19.5,23.3,terminal,0,8000,15
12,19.5,14.0,terminal,0,8000,15
13,22.0,18.4,terminal,0,8000,15
14,78.1,21.0,terminal,0,8000,15
15,81.0,24.9,terminal,0,8000,15
16,83.1,20.5,terminal,0,8000,15
17,76.9,15.7,terminal,0,8000,15
18,21.0,85.4,terminal,0,8000,15
19,20.7,78.1,terminal,0,8000,15
20,22.1,74.2,terminal,0,8000,15
21,18.4,82.5,terminal,0,8000,15
22,83.9,78.9,terminal,0,8000,15
23,82.2,81.4,terminal,0,8000,15
24,83.2,75.4,terminal,0,8000,15
25,82.2,74.0,terminal,0,8000,15
26,42.4,48.2,terminal,0,8000,15
27,46.2,53.7,terminal,0,8000,15
28,52.7,45.0,terminal,0,8000,15
29,53.5,45.8,terminal,0,8000,15
100,18.2,16.9,consumer,64,0,0
101,20.0,8.5,consumer,64,0,0
102,21.6,15.0,consumer,79,0,0
103,16.7,20.1,consumer,73,0,0
104,15.2,28.8,consumer,94,0,0
105,25.8,20.7,consumer,88,0,0
106,15.7,9.6,consumer,65,0,0
107,21.8,17.8,consumer,90,0,0
108,18.4,11.2,consumer,70,0,0
109,26.4,11.7,consumer,64,0,0
110,25.6,11.0,consumer,75,0,0
111,21.7,21.3,consumer,86,0,0
112,80.8,18.3,consumer,91,0,0
113,69.1,21.0,consumer,91,0,0
114,74.8,21.9,consumer,65,0,0
115,80.8,19.1,consumer,97,0,0
116,73.2,20.3,consumer,75,0,0
117,74.5,32.5,consumer,58,0,0
118,81.3,20.4,consumer,53,0,0
119,84.6,18.7,consumer,60,0,0
120,84.4,15.9,consumer,54,0,0
121,72.1,19.9,consumer,79,0,0
122,67.3,13.9,consumer,50,0,0
123,76.0,13.9,consumer,84,0,0
124,21.0,77.5,consumer,71,0,0
125,24.8,88.6,consumer,79,0,0
126,28.5,85.6,consumer,96,0,0
127,20.2,83.6,consumer,61,0,0
128,18.7,78.0,consumer,90,0,0
129,18.7,84.5,consumer,88,0,0
130,23.5,78.3,consumer,60,0,0
131,14.3,72.2,consumer,83,0,0
132,27.7,71.1,consumer,81,0,0
133,27.7,83.6,consumer,69,0,0
134,18.6,85.7,consumer,86,0,0
135,20.1,81.9,consumer,81,0,0
136,87.9,69.9,consumer,84,0,0
137,84.1,76.8,consumer,80,0,0
138,86.2,78.1,consumer,83,0,0
139,85.5,77.9,consumer,63,0,0
140,89.2,78.0,consumer,94,0,0
141,83.3,85.0,consumer,92,0,0
142,80.3,71.4,consumer,83,0,0
143,80.1,76.4,consumer,54,0,0
144,79.9,80.8,consumer,64,0,0
145,81.3,73.4,consumer,95,0,0
146,80.1,71.8,consumer,52,0,0
147,83.2,72.7,consumer,65,0,0
148,41.4,53.5,consumer,84,0,0
149,48.7,55.2,consumer,86,0,0
150,39.6,46.7,consumer,80,0,0
151,47.2,51.2,consumer,56,0,0
152,43.9,50.2,consumer,76,0,0
153,38.8,55.3,consumer,93,0,0
154,48.8,39.4,consumer,53,0,0
155,49.4,47.3,consumer,56,0,0
156,52.7,47.7,consumer,78,0,0
157,55.2,47.8,consumer,79,0,0
158,53.5,55.1,consumer,78,0,0
159,56.6,37.7,consumer,56,0,0
